iter	Passed	Remaining
0	161	64595
1	185	36955
2	209	27719
3	233	23142
4	261	20657
5	286	18788
6	314	17651
7	338	16589
8	363	15770
9	385	15028
10	413	14638
11	486	15730
12	530	15795
13	558	15400
14	582	14952
15	607	14585
16	632	14242
17	655	13916
18	676	13559
19	700	13311
20	720	13003
21	743	12769
22	764	12532
23	789	12370
24	809	12147
25	828	11922
26	851	11758
27	873	11602
28	895	11454
29	917	11310
30	950	11318
31	976	11227
32	1001	11133
33	1028	11068
34	1077	11234
35	1106	11185
36	1132	11114
37	1160	11051
38	1190	11024
39	1217	10958
40	1246	10910
41	1272	10842
42	1294	10751
43	1327	10738
44	1347	10632
45	1384	10657
46	1410	10591
47	1444	10594
48	1467	10511
49	1491	10439
50	1514	10362
51	1540	10310
52	1569	10274
53	1608	10303
54	1637	10272
55	1676	10299
56	1700	10231
57	1725	10174
58	1748	10108
59	1775	10060
60	1802	10018
61	1830	9980
62	1852	9908
63	1877	9859
64	1910	9845
65	1934	9791
66	1960	9744
67	1982	9679
68	2018	9681
69	2043	9635
70	2066	9576
71	2091	9529
72	2120	9498
73	2151	9477
74	2177	9434
75	2216	9447
76	2243	9409
77	2270	9373
78	2302	9354
79	2346	9387
80	2372	9345
81	2399	9306
82	2429	9280
83	2452	9225
84	2474	9169
85	2523	9214
86	2570	9248
87	2610	9255
88	2639	9224
89	2667	9188
90	2699	9165
91	2723	9117
92	2751	9081
93	2779	9047
94	2827	9076
95	2854	9039
96	2878	8992
97	2905	8953
98	2946	8959
99	2970	8911
100	3006	8898
101	3025	8840
102	3045	8782
103	3068	8734
104	3091	8685
105	3113	8636
106	3139	8596
107	3167	8564
108	3193	8525
109	3221	8492
110	3250	8463
111	3277	8428
112	3325	8446
113	3356	8419
114	3381	8379
115	3408	8343
116	3431	8300
117	3459	8267
118	3487	8236
119	3517	8206
120	3542	8167
121	3565	8124
122	3586	8077
123	3609	8033
124	3633	7992
125	3660	7960
126	3696	7945
